oldTax;newTax
Beschrijvende statistiek;Descriptive statistics
Beschrijvende statistiek,Correlatie (beschrijvende stat.);Descriptive statistics/Summary Statistics/Bivariate statistics/Correlation
Beschrijvende statistiek,Correlatie (beschrijvende stat.),Formule;Descriptive statistics/Summary Statistics/Bivariate statistics/Correlation
Beschrijvende statistiek,Correlatie (beschrijvende stat.),Gestandaardiseerde variabelen;Descriptive statistics/Summary Statistics/Bivariate statistics/Correlation
Beschrijvende statistiek,Correlatie (beschrijvende stat.),Interpretatie r;Descriptive statistics/Summary Statistics/Bivariate statistics/Correlation
Beschrijvende statistiek,Correlatie (beschrijvende stat.),Invloed van extra punt;Descriptive statistics/Summary Statistics/Bivariate statistics/Correlation
Beschrijvende statistiek,Correlatie (beschrijvende stat.),Lineair verband (correlatie);Descriptive statistics/Summary Statistics/Bivariate statistics/Correlation
Beschrijvende statistiek,Correlatie (beschrijvende stat.),Pearson coefficient;Descriptive statistics/Summary Statistics/Bivariate statistics/Correlation
Beschrijvende statistiek,Correlatie (beschrijvende stat.),Pearson coefficient,Formule;Descriptive statistics/Summary Statistics/Bivariate statistics/Correlation
Beschrijvende statistiek,Correlatie (beschrijvende stat.),Schatten uit spreidingsdiagram;Descriptive statistics/Summary Statistics/Bivariate statistics/Correlation
Beschrijvende statistiek,Grafieken,Boxplot;Descriptive statistics/Data representation/Graphs/Boxplot
Beschrijvende statistiek,Grafieken,Histogram;Descriptive statistics/Data representation/Graphs/Histogram
Beschrijvende statistiek,Grafieken,Histogram,Boxplot;Descriptive statistics/Data representation/Graphs/Boxplot
Beschrijvende statistiek,Grafieken,Keuze grafiek;Descriptive statistics/Data representation/Graphs
Beschrijvende statistiek,Grafieken,Scheve verdeling;Descriptive statistics/Data representation/Graphs
Beschrijvende statistiek,Grafieken,Spreidingsdiagram;Descriptive statistics/Data representation/Graphs/Scatterplot
Beschrijvende statistiek,Grafieken,Staafdiagram;Descriptive statistics/Data representation/Graphs/Bar graph
Beschrijvende statistiek,Grafieken,Transformaties;Descriptive statistics/Data representation/Graphs
Beschrijvende statistiek,Kengetallen;Descriptive statistics/Summary Statistics
Beschrijvende statistiek,Kengetallen,Gemiddelde;Descriptive statistics/Summary Statistics/Measures of Location/Mean
Beschrijvende statistiek,Kengetallen,Gemiddelde,Mediaan;Descriptive statistics/Summary Statistics/Measures of Location/Median
Beschrijvende statistiek,Kengetallen,Gemiddelde,Modus;Descriptive statistics/Summary Statistics/Measures of Location/Mode
Beschrijvende statistiek,Kengetallen,Gemiddelde,Standaarddeviatie;Descriptive statistics/Summary Statistics/Measures of Spread/Standard Deviation
Beschrijvende statistiek,Kengetallen,Gemiddelde,Variantie;Descriptive statistics/Summary Statistics/Measures of Spread/Variance
Beschrijvende statistiek,Kengetallen,Grafieken,Gemiddelde,Mediaan,Boxplot;Descriptive statistics/Data representation/Graphs/Boxplot
Beschrijvende statistiek,Kengetallen,Grafieken,Gemiddelde,Spreidingsdiagram;Descriptive statistics/Data representation/Graphs/Scatterplot
Beschrijvende statistiek,Kengetallen,Grafieken,Gemiddelde,Staafdiagram;Descriptive statistics/Data representation/Graphs/Bar graph
Beschrijvende statistiek,Kengetallen,Grafieken,Inter Quartile Range,Boxplot;Descriptive statistics/Summary Statistics/Measures of Spread/Interquartile Range
Beschrijvende statistiek,Kengetallen,Grafieken,Mediaan,Inter Quartile Range,Spreidingsbreedte,Boxplot;Descriptive statistics/Summary Statistics/Measures of Spread/Interquartile Range
Beschrijvende statistiek,Kengetallen,Grafieken,Mediaan,Staafdiagram;Descriptive statistics/Data representation/Graphs/Bar graph
Beschrijvende statistiek,Kengetallen,Grafieken,Minimum+maximum,Spreidingsdiagram;Descriptive statistics/Summary Statistics/Measures of Spread/Range
Beschrijvende statistiek,Kengetallen,Grafieken,Modus,Staafdiagram;Descriptive statistics/Data representation/Graphs/Bar graph
Beschrijvende statistiek,Kengetallen,Grafieken,Spreidingsbreedte,Spreidingsdiagram;Descriptive statistics/Data representation/Graphs/Scatterplot
Beschrijvende statistiek,Kengetallen,Grafieken,Standaarddeviatie,Boxplot;Descriptive statistics/Data representation/Graphs/Boxplot
Beschrijvende statistiek,Kengetallen,Grafieken,Standaarddeviatie,Histogram;Descriptive statistics/Data representation/Graphs/Histogram
Beschrijvende statistiek,Kengetallen,Locatiematen;Descriptive statistics/Summary Statistics/Measures of Location
Beschrijvende statistiek,Kengetallen,Mediaan;Descriptive statistics/Summary Statistics/Measures of Location/Mean
Beschrijvende statistiek,Kengetallen,Mediaan,Modus;Descriptive statistics/Summary Statistics/Measures of Location/Median
Beschrijvende statistiek,Kengetallen,Modus;Descriptive statistics/Summary Statistics/Measures of Location/Mode
Beschrijvende statistiek,Kengetallen,Spreidingsbreedte;Descriptive statistics/Summary Statistics/Measures of Spread
Beschrijvende statistiek,Kengetallen,Spreidingsmaten;Descriptive statistics/Summary Statistics/Measures of Spread
Beschrijvende statistiek,Kengetallen,Standaarddeviatie;Descriptive statistics/Summary Statistics/Measures of Spread/Standard Deviation
Beschrijvende statistiek,Kengetallen,Variantie;Descriptive statistics/Summary Statistics/Measures of Spread/Variance
Beschrijvende statistiek,Meetniveaus,Continu/discreet;Measurement Level
Beschrijvende statistiek,Meetniveaus,Interval;Measurement Level/Interval
Beschrijvende statistiek,Meetniveaus,Interval,Continu/discreet;Variable type
Beschrijvende statistiek,Meetniveaus,Interval,Kwalitatief/kwantitatief;Measurement Level/Interval
Beschrijvende statistiek,Meetniveaus,Kwalitatief/kwantitatief;Measurement Level
Beschrijvende statistiek,Meetniveaus,Kwalitatief/kwantitatief,Continu/discreet;Variable type
Beschrijvende statistiek,Meetniveaus,Nominaal;Measurement Level/Nominal
Beschrijvende statistiek,Meetniveaus,Nominaal,Continu/discreet;Measurement Level/Nominal
Beschrijvende statistiek,Meetniveaus,Ordinaal;Measurement Level/Ordinal
Beschrijvende statistiek,Outliers,Invloed op kengetallen;Descriptive statistics/Summary Statistics/Outliers
Beschrijvende statistiek,Regressie (beschrijvende stat.);Inferential Statistics/Regression
Beschrijvende statistiek,Regressie (beschrijvende stat.),Formules;Inferential Statistics/Regression/Equation
Beschrijvende statistiek,Regressie (beschrijvende stat.),Interpretatie intercept en r.c.;Inferential Statistics/Regression/Intercept
Beschrijvende statistiek,Regressie (beschrijvende stat.),Interpretatie intercept en r.c.,Verband met corr coeff;Inferential Statistics/Regression/Intercept
Beschrijvende statistiek,Regressie (beschrijvende stat.),Invloed van extra punt op regressie vgl.;Inferential Statistics/Regression/Simple linear regression
Beschrijvende statistiek,Regressie (beschrijvende stat.),Populatieverdelingen;Inferential Statistics/Regression/Simple linear regression
Beschrijvende statistiek,Regressie (beschrijvende stat.),Regressielijn;Inferential Statistics/Regression/Slope
Beschrijvende statistiek,Regressie (beschrijvende stat.),Schatten regressievergelijking;Inferential Statistics/Regression/Equation
Beschrijvende statistiek,Regressie (beschrijvende stat.),Verband met corr coeff;Inferential Statistics/Regression/Simple linear regression
Beschrijvende statistiek,Regressie (beschrijvende stat.),Voorspelde Y bij gegeven X;Inferential Statistics/Regression/Simple linear regression
Gepaarde T toets,Toetsingsgrootheid (tgh);Inferential Statistics/Parametric Techniques/t-test/Paired samples
Inferentiële statistiek;Inferential Statistics
Inferentiële statistiek,Anova;Inferential Statistics/Parametric Techniques/ANOVA
