"";"x"
"1";""
"2";"Beschrijvende statistiek"
"3";"Beschrijvende statistiek,Correlatie (beschrijvende stat.)"
"4";"Beschrijvende statistiek,Correlatie (beschrijvende stat.),Formule"
"5";"Beschrijvende statistiek,Correlatie (beschrijvende stat.),Gestandaardiseerde variabelen"
"6";"Beschrijvende statistiek,Correlatie (beschrijvende stat.),Interpretatie r"
"7";"Beschrijvende statistiek,Correlatie (beschrijvende stat.),Invloed van extra punt"
"8";"Beschrijvende statistiek,Correlatie (beschrijvende stat.),Lineair verband (correlatie)"
"9";"Beschrijvende statistiek,Correlatie (beschrijvende stat.),Pearson coefficient"
"10";"Beschrijvende statistiek,Correlatie (beschrijvende stat.),Pearson coefficient,Formule"
"11";"Beschrijvende statistiek,Correlatie (beschrijvende stat.),Schatten uit spreidingsdiagram"
"12";"Beschrijvende statistiek,Grafieken,Boxplot"
"13";"Beschrijvende statistiek,Grafieken,Histogram"
"14";"Beschrijvende statistiek,Grafieken,Histogram,Boxplot"
"15";"Beschrijvende statistiek,Grafieken,Keuze grafiek"
"16";"Beschrijvende statistiek,Grafieken,Scheve verdeling"
"17";"Beschrijvende statistiek,Grafieken,Spreidingsdiagram"
"18";"Beschrijvende statistiek,Grafieken,Staafdiagram"
"19";"Beschrijvende statistiek,Grafieken,Transformaties"
"20";"Beschrijvende statistiek,Kengetallen"
"21";"Beschrijvende statistiek,Kengetallen,Gemiddelde"
"22";"Beschrijvende statistiek,Kengetallen,Gemiddelde,Mediaan"
"23";"Beschrijvende statistiek,Kengetallen,Gemiddelde,Modus"
"24";"Beschrijvende statistiek,Kengetallen,Gemiddelde,Standaarddeviatie"
"25";"Beschrijvende statistiek,Kengetallen,Gemiddelde,Variantie"
"26";"Beschrijvende statistiek,Kengetallen,Grafieken,Gemiddelde,Mediaan,Boxplot"
"27";"Beschrijvende statistiek,Kengetallen,Grafieken,Gemiddelde,Spreidingsdiagram"
"28";"Beschrijvende statistiek,Kengetallen,Grafieken,Gemiddelde,Staafdiagram"
"29";"Beschrijvende statistiek,Kengetallen,Grafieken,Inter Quartile Range,Boxplot"
"30";"Beschrijvende statistiek,Kengetallen,Grafieken,Mediaan,Inter Quartile Range,Spreidingsbreedte,Boxplot"
"31";"Beschrijvende statistiek,Kengetallen,Grafieken,Mediaan,Staafdiagram"
"32";"Beschrijvende statistiek,Kengetallen,Grafieken,Minimum+maximum,Spreidingsdiagram"
"33";"Beschrijvende statistiek,Kengetallen,Grafieken,Modus,Staafdiagram"
"34";"Beschrijvende statistiek,Kengetallen,Grafieken,Spreidingsbreedte,Spreidingsdiagram"
"35";"Beschrijvende statistiek,Kengetallen,Grafieken,Standaarddeviatie,Boxplot"
"36";"Beschrijvende statistiek,Kengetallen,Grafieken,Standaarddeviatie,Histogram"
"37";"Beschrijvende statistiek,Kengetallen,Locatiematen"
"38";"Beschrijvende statistiek,Kengetallen,Mediaan"
"39";"Beschrijvende statistiek,Kengetallen,Mediaan,Modus"
"40";"Beschrijvende statistiek,Kengetallen,Modus"
"41";"Beschrijvende statistiek,Kengetallen,Spreidingsbreedte"
"42";"Beschrijvende statistiek,Kengetallen,Spreidingsmaten"
"43";"Beschrijvende statistiek,Kengetallen,Standaarddeviatie"
"44";"Beschrijvende statistiek,Kengetallen,Variantie"
"45";"Beschrijvende statistiek,Meetniveaus,Continu/discreet"
"46";"Beschrijvende statistiek,Meetniveaus,Interval"
"47";"Beschrijvende statistiek,Meetniveaus,Interval,Continu/discreet"
"48";"Beschrijvende statistiek,Meetniveaus,Interval,Kwalitatief/kwantitatief"
"49";"Beschrijvende statistiek,Meetniveaus,Kwalitatief/kwantitatief"
"50";"Beschrijvende statistiek,Meetniveaus,Kwalitatief/kwantitatief,Continu/discreet"
"51";"Beschrijvende statistiek,Meetniveaus,Nominaal"
"52";"Beschrijvende statistiek,Meetniveaus,Nominaal,Continu/discreet"
"53";"Beschrijvende statistiek,Meetniveaus,Ordinaal"
"54";"Beschrijvende statistiek,Outliers,Invloed op kengetallen"
"55";"Beschrijvende statistiek,Regressie (beschrijvende stat.)"
"56";"Beschrijvende statistiek,Regressie (beschrijvende stat.),Formules"
"57";"Beschrijvende statistiek,Regressie (beschrijvende stat.),Interpretatie intercept en r.c."
"58";"Beschrijvende statistiek,Regressie (beschrijvende stat.),Interpretatie intercept en r.c.,Verband met corr coeff"
"59";"Beschrijvende statistiek,Regressie (beschrijvende stat.),Invloed van extra punt op regressie vgl."
"60";"Beschrijvende statistiek,Regressie (beschrijvende stat.),Populatieverdelingen"
"61";"Beschrijvende statistiek,Regressie (beschrijvende stat.),Regressielijn"
"62";"Beschrijvende statistiek,Regressie (beschrijvende stat.),Schatten regressievergelijking"
"63";"Beschrijvende statistiek,Regressie (beschrijvende stat.),Verband met corr coeff"
"64";"Beschrijvende statistiek,Regressie (beschrijvende stat.),Voorspelde Y bij gegeven X"
"65";"Gepaarde T toets,Toetsingsgrootheid (tgh)"
"66";"Inferentiële statistiek"
"67";"Inferentiële statistiek,Anova"
"68";"Inferentiële statistiek,Anova,Oneway, ANOVA-table"
"69";"Inferentiële statistiek,Anova,Oneway, F-verdeling"
"70";"Inferentiële statistiek,Anova,Twoway + interactie"
"71";"Inferentiële statistiek,Correlatie (inferentiële stat.),Toets (H0: ? = 0), Tgh m.b.v. T-verdeling en p-waarde alleen via ß1"
"72";"Inferentiële statistiek,Dichotome data,Binomiaaltoets (Z-benadering)"
"73";"Inferentiële statistiek,Dichotome data,Pearson's Chi-kwadraat"
"74";"Inferentiële statistiek,Intervalschatting"
"75";"Inferentiële statistiek,Intervalschatting,Betrouwbaarheidsinterval voor mu, Coverage (95%, 99%)"
"76";"Inferentiële statistiek,Intervalschatting,Betrouwbaarheidsinterval voor mu, Interpretatie"
"77";"Inferentiële statistiek,Intervalschatting,Bhi voor proportie pi"
"78";"Inferentiële statistiek,Non-parametrische toetsen"
"79";"Inferentiële statistiek,Non-parametrische toetsen,Mann-Whitney / Wilcoxon Rank Sum test"
"80";"Inferentiële statistiek,Non-parametrische toetsen,Wilcoxon (Matched Pairs) Signed Rank test"
"81";"Inferentiële statistiek,Regressie (inferentiële stat.)"
"82";"Inferentiële statistiek,Regressie (inferentiële stat.),Anova,Oneway, ANOVA-table"
"83";"Inferentiële statistiek,Regressie (inferentiële stat.),Toets (H0 : ß1 = 0), Bhi en predictieinterval voor Y bij gegeven X-waarde"
"84";"Inferentiële statistiek,Regressie (inferentiële stat.),Toets (H0 : ß1 = 0), Relatie met toets voor ? = 0."
"85";"Inferentiële statistiek,Regressie (inferentiële stat.),Toets (H0 : ß1 = 0), Tgh m.b.v. T-verdeling"
"86";"Inferentiële statistiek,T-Toetsen"
"87";"Inferentiële statistiek,T-Toetsen,1 steekproef T-toets"
"88";"Inferentiële statistiek,T-Toetsen,Correlatie (inferentiële stat.),Toets (H0: ? = 0), Tgh m.b.v. T-verdeling en p-waarde alleen via ß1,Gepaarde T toets"
"89";"Inferentiële statistiek,T-Toetsen,Gepaarde T toets"
"90";"Inferentiële statistiek,T-Toetsen,T toets voor 2 onafh. Steekproeven"
"91";"Inferentiële statistiek,T-Toetsen,T-verdeling, vrijheidsgraden"
"92";"Inferentiële statistiek,Toetstheorie"
"93";"Inferentiële statistiek,Toetstheorie,Anova,Oneway, ANOVA-table,p-waarde"
