"oldTax";"newTax"
"exsection: Beschrijvende statistiek,Regressie (beschrijvende stat.),Formules ";"exsection: Inferential Statistics/Regression/R squared"
"exsection: Beschrijvende statistiek,Meetniveaus,Kwalitatief/kwantitatief ";"exsection: Measurement Level"
"exsection: Beschrijvende statistiek,Kengetallen,Locatiematen ";"exsection: Descriptive statistics/Summary Statistics/Measures of Location"
"exsection: Beschrijvende statistiek,Kengetallen,Gemiddelde,Mediaan ";"exsection: Descriptive statistics/Summary Statistics/Measures of Location"
"exsection: Beschrijvende statistiek,Kengetallen,Spreidingsmaten ";"exsection: Descriptive statistics/Summary Statistics/Measures of Spread"
"exsection: Beschrijvende statistiek,Regressie (beschrijvende stat.),Interpretatie intercept en r.c. ";"exsection: Inferential Statistics/Regression/Intercept"
"exsection: Beschrijvende statistiek,Kengetallen,Variantie ";"exsection: Descriptive statistics/Summary Statistics/Measures of Spread/Variance"
"exsection: Beschrijvende statistiek,Correlatie (beschrijvende stat.),Lineair verband (correlatie) ";"exsection: Descriptive statistics/Summary Statistics/Bivariate statistics/Correlation"
"exsection: Beschrijvende statistiek,Regressie (beschrijvende stat.),Verband met corr coeff ";"exsection: Descriptive statistics/Summary Statistics/Bivariate statistics/Correlation"
"exsection: Beschrijvende statistiek,Kengetallen,Gemiddelde ";"exsection: Descriptive statistics/Summary Statistics/Measures of Location/Mean"
"exsection: Beschrijvende statistiek,Kengetallen,Mediaan ";"exsection: Descriptive statistics/Summary Statistics/Measures of Location/Median"
"exsection: Beschrijvende statistiek,Meetniveaus,Nominaal ";"exsection: Measurement Level/Nominal"
"exsection: Beschrijvende statistiek,Regressie (beschrijvende stat.),Voorspelde Y bij gegeven X ";"exsection: Inferential Statistics/Regression/Simple linear regression"
"exsection: Beschrijvende statistiek,Correlatie (beschrijvende stat.),Pearson coefficient ";"exsection: Inferential Statistics/Parametric Techniques/Correlations/Pearson"
"exsection: Beschrijvende statistiek,Kengetallen,Modus ";"exsection: Descriptive statistics/Summary Statistics/Measures of Location/Mode"
"exsection: Beschrijvende statistiek,Outliers,Invloed op kengetallen ";"exsection: Descriptive statistics/Summary Statistics/Outliers"
"exsection: Beschrijvende statistiek,Correlatie (beschrijvende stat.),Interpretatie r ";"exsection: Inferential Statistics/Parametric Techniques/Correlations/Pearson"
"exsection: Beschrijvende statistiek,Meetniveaus,Interval ";"exsection: Measurement Level/Interval"
"exsection: Beschrijvende statistiek,Kengetallen,Standaarddeviatie ";"exsection: Descriptive statistics/Summary Statistics/Measures of Spread/Standard Deviation"
"exsection: Beschrijvende statistiek,Kengetallen ";"exsection: Descriptive statistics/Summary Statistics"
"exsection: Beschrijvende statistiek,Kengetallen,Mediaan,Modus ";"exsection: Descriptive statistics/Summary Statistics/Measures of Location"
"exsection: Beschrijvende statistiek ";"exsection: Descriptive statistics"
"exsection: Beschrijvende statistiek,Regressie (beschrijvende stat.),Schatten regressievergelijking ";"exsection: Inferential Statistics/Regression/Equation"
"exsection: Beschrijvende statistiek,Meetniveaus,Ordinaal ";"exsection: Measurement Level/Ordinal"
"exsection: Beschrijvende statistiek,Grafieken,Staafdiagram ";"exsection: Descriptive statistics/Data representation/Graphs/Bar graph"
